epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1165.02,0.53108,0.9368,0.83734,0.7121,0.82751,0.81563,0.68169,0.57601,1.1451,0.83932,0.00065707,0.00065707,0.00065707
66,1183.18,0.55194,0.92575,0.84186,0.71013,0.82954,0.83951,0.6871,0.63518,1.08037,0.84617,0.000654321,0.000654321,0.000654321
67,1201.41,0.60212,0.91907,0.82916,0.79384,0.77677,0.8655,0.69813,0.61687,1.04268,0.84588,0.000651573,0.000651573,0.000651573
68,1219.68,0.55927,0.86415,0.82288,0.73027,0.87571,0.87288,0.73757,0.56509,1.07186,0.83918,0.000648824,0.000648824,0.000648824
69,1237.91,0.53539,0.87291,0.83451,0.73027,0.87571,0.87288,0.73757,0.56509,1.07186,0.83918,0.000646075,0.000646075,0.000646075
70,1256.1,0.55254,0.91773,0.8499,0.74102,0.8161,0.85515,0.72743,0.55786,1.18872,0.84175,0.000643326,0.000643326,0.000643326
71,1274.32,0.54201,0.87186,0.83495,0.73963,0.84419,0.86615,0.72977,0.5707,1.17078,0.83982,0.000640577,0.000640577,0.000640577
72,1292.46,0.56192,0.92903,0.8484,0.75293,0.84116,0.87044,0.74025,0.5562,1.10652,0.83707,0.000637828,0.000637828,0.000637828
73,1310.6,0.5386,0.89563,0.84181,0.75293,0.84116,0.87044,0.74025,0.5562,1.10652,0.83707,0.000635079,0.000635079,0.000635079
74,1328.9,0.54109,0.88721,0.85352,0.78415,0.85594,0.86062,0.72929,0.55458,1.05035,0.83741,0.00063233,0.00063233,0.00063233
75,1347.19,0.5072,0.90186,0.82728,0.76612,0.83967,0.87513,0.74113,0.5486,1.03911,0.83684,0.000629581,0.000629581,0.000629581
76,1365.56,0.53885,0.8281,0.83385,0.75482,0.91739,0.90698,0.76471,0.55238,0.98919,0.83909,0.000626832,0.000626832,0.000626832
77,1383.95,0.51797,0.85915,0.8266,0.75482,0.91739,0.90698,0.76471,0.55238,0.98919,0.83909,0.000624084,0.000624084,0.000624084
78,1402.13,0.52144,0.84078,0.83918,0.77731,0.89773,0.9385,0.7892,0.54681,0.88019,0.83626,0.000621335,0.000621335,0.000621335
79,1420.44,0.54783,0.8028,0.83917,0.87562,0.88343,0.94825,0.79559,0.54252,0.81874,0.83408,0.000618586,0.000618586,0.000618586
80,1438.78,0.5681,0.83821,0.83958,0.8607,0.92783,0.94341,0.79363,0.5524,0.82552,0.8345,0.000615837,0.000615837,0.000615837
81,1457.03,0.5497,0.80149,0.82628,0.8607,0.92783,0.94341,0.79363,0.5524,0.82552,0.8345,0.000613088,0.000613088,0.000613088
82,1475.36,0.49915,0.79782,0.82039,0.88832,0.88939,0.92157,0.79013,0.52937,0.85864,0.83527,0.000610339,0.000610339,0.000610339
83,1493.52,0.5171,0.77649,0.83761,0.85373,0.92284,0.92237,0.78077,0.52826,0.8608,0.83471,0.00060759,0.00060759,0.00060759
84,1512.38,0.52275,0.83764,0.84594,0.82624,0.94719,0.93321,0.75999,0.60881,0.86947,0.84193,0.000604841,0.000604841,0.000604841
85,1530.67,0.54465,0.76754,0.83546,0.82624,0.94719,0.93321,0.75999,0.60881,0.86947,0.84193,0.000602092,0.000602092,0.000602092
86,1548.94,0.51278,0.85326,0.84721,0.83304,0.94161,0.93449,0.75797,0.61862,0.85351,0.83981,0.000599343,0.000599343,0.000599343
87,1567.13,0.50953,0.80601,0.82169,0.83186,0.96337,0.95099,0.79799,0.55168,0.75629,0.83105,0.000596595,0.000596595,0.000596595
88,1585.54,0.49875,0.75824,0.81793,0.88786,0.92342,0.96209,0.82145,0.51155,0.74572,0.82509,0.000593846,0.000593846,0.000593846
