timestamp,tx,ty,tz,rx,ry,rz,Distance,Angle X,Angle Y,Angle Z
12:47:55:885,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:47:56:010,10.699680427507664,5.297983120952783,565.9898704633314,0.11685129847999039,-0.11595160267878707,-0.016663552297238628,566.1157878504179,7,-7,-1
12:47:56:173,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:47:56:295,10.696278720099253,5.318269137371632,569.1922482875557,0.056410103611923834,-0.1069527391290667,-0.019969770939162385,569.3175826159929,3,-6,-1
12:47:56:422,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:47:56:543,10.696278720099253,5.318269137371632,569.1922482875557,0.056410103611923834,-0.1069527391290667,-0.019969770939162385,569.3175826159929,3,-6,-1
12:47:56:669,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:47:56:795,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:47:56:914,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:47:57:037,10.696278720099253,5.318269137371632,569.1922482875557,0.056410103611923834,-0.1069527391290667,-0.019969770939162385,569.3175826159929,3,-6,-1
12:47:57:160,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:47:57:285,10.783355531572797,5.328816612950358,570.5202848095419,0.03910802253309667,-0.14104149917576958,-0.019511284319163102,570.6470646749841,2,-8,-1
12:47:57:405,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:47:57:524,10.698915272107962,5.354732771826545,565.9543701249161,0.12346456900122482,-0.11395529631552366,-0.016697238021171627,566.0808149147504,7,-6,-1
12:47:57:652,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:47:57:771,10.696278720099253,5.318269137371632,569.1922482875557,0.056410103611923834,-0.1069527391290667,-0.019969770939162385,569.3175826159929,3,-6,-1
12:47:57:989,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:47:58:154,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:47:58:277,10.78591178219864,5.387497349763979,570.6572412897468,0.045808052037049934,-0.13864348899059312,-0.019534355910836267,570.7845898910476,3,-8,-1
12:47:58:396,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:47:58:525,10.698915272107962,5.354732771826545,565.9543701249161,0.12346456900122482,-0.11395529631552366,-0.016697238021171627,566.0808149147504,7,-6,-1
12:47:58:645,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:47:58:773,10.783355531572797,5.328816612950358,570.5202848095419,0.03910802253309667,-0.14104149917576958,-0.019511284319163102,570.6470646749841,2,-8,-1
12:47:58:920,10.696278720099253,5.318269137371632,569.1922482875557,0.056410103611923834,-0.1069527391290667,-0.019969770939162385,569.3175826159929,3,-6,-1
12:47:59:047,10.696278720099253,5.318269137371632,569.1922482875557,0.056410103611923834,-0.1069527391290667,-0.019969770939162385,569.3175826159929,3,-6,-1
12:47:59:166,10.78591178219864,5.387497349763979,570.6572412897468,0.045808052037049934,-0.13864348899059312,-0.019534355910836267,570.7845898910476,3,-8,-1
12:47:59:332,10.696278720099253,5.318269137371632,569.1922482875557,0.056410103611923834,-0.1069527391290667,-0.019969770939162385,569.3175826159929,3,-6,-1
12:47:59:457,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:47:59:576,10.696278720099253,5.318269137371632,569.1922482875557,0.056410103611923834,-0.1069527391290667,-0.019969770939162385,569.3175826159929,3,-6,-1
12:47:59:702,10.78591178219864,5.387497349763979,570.6572412897468,0.045808052037049934,-0.13864348899059312,-0.019534355910836267,570.7845898910476,3,-8,-1
12:47:59:823,10.696278720099253,5.318269137371632,569.1922482875557,0.056410103611923834,-0.1069527391290667,-0.019969770939162385,569.3175826159929,3,-6,-1
12:47:59:943,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:48:00:072,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:48:00:193,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:48:00:317,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:48:00:441,10.699680427507664,5.297983120952783,565.9898704633314,0.11685129847999039,-0.11595160267878707,-0.016663552297238628,566.1157878504179,7,-7,-1
