epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,9928.33,0.43493,0.33845,0.81661,0.96676,0.98818,0.99313,0.87472,0.46611,0.38709,0.83523,0.000536119,0.000536119,0.000536119
110,9966.21,0.43395,0.32116,0.82121,0.96859,0.97887,0.99313,0.87555,0.46495,0.37568,0.83338,0.00053337,0.00053337,0.00053337
111,10004.1,0.45736,0.34418,0.8362,0.96642,0.97351,0.99125,0.88395,0.44739,0.37968,0.83011,0.000530621,0.000530621,0.000530621
112,10042.1,0.43954,0.34232,0.83714,0.97249,0.96108,0.98938,0.89795,0.4356,0.37687,0.82718,0.000527872,0.000527872,0.000527872
113,10085.4,0.43034,0.33745,0.829,0.97249,0.96108,0.98938,0.89795,0.4356,0.37687,0.82718,0.000525123,0.000525123,0.000525123
114,10824.8,0.42094,0.32563,0.81667,0.96755,0.98381,0.99125,0.88856,0.44507,0.37014,0.82939,0.000522374,0.000522374,0.000522374
115,10860.3,0.45223,0.33309,0.81103,0.96649,0.97778,0.98375,0.87897,0.45055,0.37621,0.83204,0.000519625,0.000519625,0.000519625
116,10894.2,0.4257,0.3146,0.81637,0.97137,0.97899,0.97995,0.87655,0.44797,0.38684,0.8304,0.000516877,0.000516877,0.000516877
117,10928.2,0.40815,0.32623,0.8274,0.97137,0.97899,0.97995,0.87655,0.44797,0.38684,0.8304,0.000514128,0.000514128,0.000514128
118,10962.9,0.41367,0.32261,0.8196,0.97298,0.97902,0.98089,0.88654,0.4374,0.36942,0.82879,0.000511379,0.000511379,0.000511379
119,10998.1,0.40077,0.322,0.81581,0.97327,0.98344,0.99125,0.89414,0.43579,0.34635,0.83026,0.00050863,0.00050863,0.00050863
120,11033.6,0.42031,0.32205,0.84471,0.98098,0.99061,0.99313,0.88885,0.44011,0.34113,0.83098,0.000505881,0.000505881,0.000505881
121,11070,0.412,0.31704,0.81018,0.98098,0.99061,0.99313,0.88885,0.44011,0.34113,0.83098,0.000503132,0.000503132,0.000503132
122,11105.7,0.38229,0.30965,0.80516,0.9733,0.97963,0.98844,0.87787,0.46379,0.37393,0.83134,0.000500383,0.000500383,0.000500383
123,11142.1,0.44187,0.34525,0.81703,0.96677,0.97885,0.98656,0.87773,0.46509,0.41106,0.83099,0.000497634,0.000497634,0.000497634
124,11183.7,0.40998,0.31101,0.82632,0.96825,0.96726,0.97867,0.8712,0.43889,0.41349,0.83081,0.000494885,0.000494885,0.000494885
125,11221.4,0.42154,0.3105,0.81527,0.96825,0.96726,0.97867,0.8712,0.43889,0.41349,0.83081,0.000492136,0.000492136,0.000492136
126,11258.3,0.43709,0.3106,0.81961,0.96834,0.98135,0.98375,0.88682,0.43845,0.37976,0.83271,0.000489387,0.000489387,0.000489387
127,11294.8,0.41289,0.32565,0.8198,0.96674,0.98776,0.99313,0.89043,0.45589,0.34658,0.83417,0.000486639,0.000486639,0.000486639
128,11331.6,0.4127,0.32704,0.83116,0.9895,0.99028,0.995,0.89128,0.46042,0.32989,0.83471,0.00048389,0.00048389,0.00048389
129,11368.8,0.40457,0.30788,0.81904,0.9895,0.99028,0.995,0.89128,0.46042,0.32989,0.83471,0.000481141,0.000481141,0.000481141
130,11405.8,0.40916,0.34508,0.81938,0.98262,0.99016,0.995,0.8904,0.45503,0.33193,0.83855,0.000478392,0.000478392,0.000478392
131,11443,0.42053,0.30393,0.81476,0.98008,0.98111,0.98937,0.89122,0.45483,0.35245,0.83921,0.000475643,0.000475643,0.000475643
132,11479.9,0.39885,0.32917,0.82506,0.97922,0.97379,0.9875,0.89022,0.44593,0.35945,0.83452,0.000472894,0.000472894,0.000472894
133,11516.8,0.43372,0.33916,0.81822,0.97922,0.97379,0.9875,0.89022,0.44593,0.35945,0.83452,0.000470145,0.000470145,0.000470145
134,11553.4,0.39875,0.32749,0.82626,0.96571,0.98141,0.99313,0.89828,0.43875,0.3667,0.83604,0.000467396,0.000467396,0.000467396
135,11590,0.37478,0.31264,0.80419,0.97868,0.97896,0.98544,0.89202,0.43611,0.35796,0.83647,0.000464647,0.000464647,0.000464647
136,11627.4,0.40825,0.30339,0.82099,0.96817,0.96836,0.97713,0.88625,0.43537,0.41854,0.83562,0.000461898,0.000461898,0.000461898
137,11664.2,0.37343,0.28909,0.80956,0.96817,0.96836,0.97713,0.88625,0.43537,0.41854,0.83562,0.00045915,0.00045915,0.00045915
138,11701.2,0.40079,0.2886,0.8197,0.96212,0.96721,0.97285,0.87884,0.44868,0.45712,0.83834,0.000456401,0.000456401,0.000456401
139,11738.3,0.4098,0.29796,0.81557,0.96037,0.96591,0.96513,0.86728,0.46136,0.48334,0.84098,0.000453652,0.000453652,0.000453652
140,11775.4,0.42141,0.31502,0.82418,0.95962,0.96591,0.96158,0.86006,0.45949,0.49398,0.84062,0.000450903,0.000450903,0.000450903
141,11812.7,0.39842,0.33136,0.82229,0.95962,0.96591,0.96158,0.86006,0.45949,0.49398,0.84062,0.000448154,0.000448154,0.000448154
142,11849.5,0.40277,0.32242,0.81963,0.96144,0.96747,0.96245,0.85673,0.45903,0.49751,0.8384,0.000445405,0.000445405,0.000445405
143,11887.1,0.39646,0.30179,0.83159,0.96178,0.96784,0.97115,0.86258,0.4505,0.47127,0.83568,0.000442656,0.000442656,0.000442656
144,11924.9,0.40687,0.31394,0.84912,0.97169,0.97703,0.97569,0.87005,0.44238,0.44141,0.83358,0.000439907,0.000439907,0.000439907
145,11963,0.41351,0.29802,0.81066,0.97169,0.97703,0.97569,0.87005,0.44238,0.44141,0.83358,0.000437158,0.000437158,0.000437158
146,12000.4,0.40903,0.31643,0.82263,0.95918,0.95696,0.97901,0.86944,0.45065,0.44809,0.83615,0.000434409,0.000434409,0.000434409
147,12039.4,0.41315,0.30422,0.80614,0.95729,0.94627,0.97009,0.85282,0.45609,0.48181,0.8378,0.000431661,0.000431661,0.000431661
148,12082.1,0.38535,0.28767,0.83611,0.92091,0.97786,0.96542,0.8619,0.44467,0.51391,0.8361,0.000428912,0.000428912,0.000428912
149,12149.5,0.40996,0.29268,0.80273,0.92091,0.97786,0.96542,0.8619,0.44467,0.51391,0.8361,0.000426163,0.000426163,0.000426163
150,12185.9,0.41478,0.30886,0.83035,0.92893,0.969,0.96542,0.86594,0.44182,0.52467,0.83621,0.000423414,0.000423414,0.000423414
151,12229.5,0.3888,0.29371,0.82399,0.95167,0.95123,0.96393,0.86222,0.45336,0.53147,0.83575,0.000420665,0.000420665,0.000420665
152,12537.4,0.38995,0.30038,0.80747,0.95673,0.95218,0.95966,0.85825,0.45863,0.52075,0.83347,0.000417916,0.000417916,0.000417916
153,12755.1,0.37596,0.29352,0.82251,0.95673,0.95218,0.95966,0.85825,0.45863,0.52075,0.83347,0.000415167,0.000415167,0.000415167
154,12790.5,0.37545,0.30416,0.82077,0.95911,0.95973,0.96193,0.86397,0.44149,0.48274,0.83232,0.000412418,0.000412418,0.000412418
155,12825.1,0.41049,0.28509,0.81481,0.95753,0.96591,0.96495,0.87025,0.43002,0.45324,0.8317,0.000409669,0.000409669,0.000409669
156,12860.3,0.40406,0.30812,0.82244,0.97098,0.96071,0.97186,0.87435,0.43342,0.43593,0.833,0.00040692,0.00040692,0.00040692
157,12896,0.41877,0.30694,0.84241,0.97098,0.96071,0.97186,0.87435,0.43342,0.43593,0.833,0.000404172,0.000404172,0.000404172
158,12932.1,0.38748,0.29063,0.81204,0.96436,0.97634,0.97478,0.88569,0.4271,0.42101,0.83292,0.000401423,0.000401423,0.000401423
159,12968.3,0.3994,0.33012,0.84735,0.96876,0.96098,0.97572,0.89048,0.42891,0.42631,0.83402,0.000398674,0.000398674,0.000398674
160,13004.6,0.40869,0.29906,0.81732,0.96768,0.96015,0.97906,0.9012,0.42764,0.42802,0.8319,0.000395925,0.000395925,0.000395925
161,13041.1,0.36314,0.28769,0.8075,0.96768,0.96015,0.97906,0.9012,0.42764,0.42802,0.8319,0.000393176,0.000393176,0.000393176
162,13077.9,0.38186,0.29225,0.83477,0.96019,0.96674,0.97839,0.89717,0.43246,0.4355,0.83215,0.000390427,0.000390427,0.000390427
163,13116.8,0.38593,0.29111,0.79354,0.95991,0.96711,0.97766,0.89225,0.4345,0.43891,0.83084,0.000387678,0.000387678,0.000387678
164,13154.5,0.41682,0.29755,0.80063,0.96019,0.96724,0.97183,0.87534,0.43221,0.43847,0.82918,0.000384929,0.000384929,0.000384929
165,13192.2,0.367,0.27995,0.81273,0.96019,0.96724,0.97183,0.87534,0.43221,0.43847,0.82918,0.00038218,0.00038218,0.00038218
166,13229.7,0.4079,0.27905,0.81429,0.95995,0.96591,0.96884,0.86832,0.43916,0.44982,0.82898,0.000379431,0.000379431,0.000379431
167,13266.9,0.3853,0.27582,0.8213,0.96049,0.96591,0.96436,0.87281,0.43315,0.44894,0.8291,0.000376683,0.000376683,0.000376683
168,13304.3,0.37959,0.28166,0.83656,0.96186,0.96375,0.9636,0.8734,0.42341,0.43159,0.82944,0.000373934,0.000373934,0.000373934
